"participant_id","academic_yr","assignment","response_min","percent_accuracy","jazz_familiarity","sleep_quality_binary","music_study_habit_binary","caffeine_binary","stress_pre_test"
1,"1","Jazz",54.1031055838688,72.6,3,1,1,0,2
2,"1","Jazz",54.4627478819145,67,5,1,0,1,2
3,"1","No_Music",46.001904686142,78.1,3,1,1,0,5
4,"1","Instrumental_Jazz",41.3848631090373,76.9,4,0,0,0,1
5,"1","No_Music",54.8757181988323,80,4,1,0,0,3
6,"1","No_Music",43.1785042723678,74.3,2,0,1,1,3
7,"1","Jazz",52.0379008296275,67.5,4,1,1,1,3
8,"1","No_Music",51.1674355212827,74.8,3,0,0,0,5
9,"1","No_Music",52.0509542970181,76.8,3,1,0,0,3
10,"1","No_Music",59.2334478919491,76.9,5,1,1,1,4
11,"1","Jazz",41.9518346229527,70.7,3,1,1,1,5
12,"1","Instrumental_Jazz",43.7979869620458,85.6,2,1,0,1,3
13,"1","Instrumental_Jazz",35.1681423081934,89.3,2,1,1,0,3
14,"1","Instrumental_Jazz",40.4785275564075,85.2,3,1,1,1,1
15,"1","Instrumental_Jazz",48.3228034545867,81.4,3,0,0,0,1
16,"1","No_Music",38.7959631491616,64.9,3,1,1,0,1
17,"1","Jazz",55.4447666690155,67,5,1,1,1,2
18,"1","Instrumental_Jazz",39.8476367368618,73.9,3,1,0,1,2
19,"1","Jazz",54.3669065330852,71.8,4,1,0,1,5
20,"1","No_Music",43.8253405434581,69.2,3,1,0,0,2
21,"1","Instrumental_Jazz",43.4499967073209,79,3,1,0,1,4
22,"1","Jazz",52.2845553065853,71.2,2,0,1,1,2
23,"1","Instrumental_Jazz",42.6118337826821,76.7,3,1,1,1,2
24,"1","No_Music",51.1800247014356,77.4,4,1,0,0,3
25,"1","Instrumental_Jazz",48.3429305658899,75.3,2,1,1,1,3
26,"1","Instrumental_Jazz",44.3392983497224,74.5,5,1,0,1,1
27,"1","Instrumental_Jazz",35.653821362053,85,2,1,1,0,2
28,"1","Jazz",52.593811620891,69.1,2,1,1,0,3
29,"1","No_Music",39.990745115732,74.9,1,1,0,0,5
30,"1","Instrumental_Jazz",51.1353465778861,77.1,3,0,1,1,3
31,"1","Jazz",52.8923051713647,68.2,5,1,1,1,3
32,"1","Instrumental_Jazz",49.6527074346499,87.2,3,1,1,1,1
33,"1","No_Music",51.1268898401665,73.7,5,1,1,0,1
34,"1","Jazz",51.4704276475815,70.4,4,0,0,1,1
35,"1","No_Music",47.4797684728925,78.7,2,1,0,0,2
36,"1","No_Music",45.8859612550682,74.4,3,1,0,0,2
37,"1","No_Music",45.519495306081,75.6,3,1,1,0,3
38,"1","No_Music",44.7261816310321,72.4,4,1,1,1,2
39,"1","Jazz",58.5463786122125,63.2,4,0,1,1,4
40,"1","Instrumental_Jazz",42.3063700307854,80.1,3,1,1,0,3
41,"1","No_Music",49.2997389977043,63.9,4,0,0,1,1
42,"1","Instrumental_Jazz",47.7106486301815,82.6,3,1,1,1,2
43,"1","Instrumental_Jazz",34.2756503267007,87.6,4,0,1,0,2
44,"1","No_Music",44.3904441374727,77.1,3,0,0,0,2
45,"1","No_Music",43.5175000625566,81.8,2,0,0,1,3
46,"1","Jazz",52.958615866804,66.4,4,1,1,1,3
47,"1","Jazz",50.3140592869265,56.7,3,1,1,0,1
48,"1","Instrumental_Jazz",44.2656653134966,78.9,2,1,0,1,3
49,"1","No_Music",50.0885197306536,71.7,3,0,0,1,4
50,"1","Jazz",49.4647103748822,71.4,1,1,1,0,3
51,"1","No_Music",46.4583599769519,77.6,3,0,0,0,2
52,"1","Jazz",54.7354049458268,74.9,3,1,0,1,1
53,"1","No_Music",40.5342519819907,73,1,1,0,0,5
54,"1","Instrumental_Jazz",47.4685977544415,85.6,3,1,0,1,4
55,"1","No_Music",43.9946156912469,72.8,3,0,1,0,3
56,"1","Instrumental_Jazz",39.841881548251,78.7,1,1,1,1,4
57,"1","Jazz",51.5251006613382,68.5,5,1,1,1,4
58,"1","Instrumental_Jazz",51.1990288484557,77.3,1,1,1,1,1
59,"1","No_Music",52.0267425393503,79.9,2,0,0,1,3
60,"1","No_Music",43.4584388164768,76.3,1,1,0,0,5
61,"1","No_Music",54.5368573809284,73.8,3,1,0,0,3
62,"1","Instrumental_Jazz",44.9575085731406,77.8,4,1,1,0,2
63,"1","No_Music",51.2254862837448,69.5,3,1,1,0,3
64,"1","Instrumental_Jazz",52.3924284079319,69.1,4,0,1,1,2
65,"1","No_Music",47.6816155195846,77.4,2,1,1,0,4
66,"1","No_Music",43.4743497563762,72.8,5,1,1,0,4
67,"1","Jazz",54.7179360992857,63.5,4,0,0,1,2
68,"1","Jazz",49.5859990152957,71.5,5,1,1,1,2
69,"1","Jazz",41.5782270159301,78.2,4,0,0,0,2
70,"1","No_Music",50.4623780803695,74.4,3,1,1,0,3
71,"1","Instrumental_Jazz",46.0951814658779,82.5,3,1,0,0,1
72,"1","Jazz",47.7976149510867,70.8,3,1,0,1,2
73,"1","Jazz",55.2967837461007,74.6,2,0,1,1,2
74,"1","Jazz",44.3520008326793,67.7,5,1,0,0,1
75,"1","Instrumental_Jazz",41.2819605418672,81.2,3,1,1,0,1
76,"1","No_Music",50.0497425952553,75,3,1,1,0,3
77,"1","No_Music",43.2895973077174,75.4,3,1,0,1,5
78,"1","No_Music",47.5590070491314,76.3,4,1,1,1,3
79,"1","No_Music",40.6086982882003,71,3,0,0,0,5
80,"1","Jazz",57.4505637583932,65.2,3,1,1,1,3
81,"1","Jazz",60.4009202818798,57.9,4,1,0,0,1
82,"1","Jazz",56.7752231746894,65.4,1,1,0,0,2
83,"1","No_Music",55.718795960527,71.9,1,1,0,1,3
84,"1","Instrumental_Jazz",42.5417672202669,85.6,5,1,1,0,2
85,"1","No_Music",55.5709609085229,74.2,1,1,0,1,1
86,"1","No_Music",50.7342186796497,69.8,4,1,0,1,4
87,"1","Instrumental_Jazz",39.455640698037,78.8,1,1,0,0,2
88,"1","No_Music",46.8820021883726,72.8,2,1,1,0,3
89,"1","No_Music",56.7429510330135,69.1,5,1,1,1,4
90,"1","No_Music",50.3541553357156,79.5,3,1,1,0,2
91,"1","Jazz",51.9060958030638,67.7,1,1,0,0,3
92,"1","No_Music",53.8390513138376,76.7,3,0,0,0,3
93,"1","Instrumental_Jazz",38.9291099771198,73.6,2,1,0,1,3
94,"1","Jazz",56.3750351561403,60.4,2,1,1,1,3
95,"1","No_Music",44.196960972527,71.8,4,1,0,0,3
96,"1","No_Music",39.5759657764082,80.8,2,1,1,0,1
97,"1","Jazz",52.647531647606,64.6,4,0,0,1,1
98,"1","No_Music",54.8244426824182,80.2,4,1,1,0,1
99,"1","No_Music",44.929496617931,77,4,1,1,1,2
100,"1","Instrumental_Jazz",37.9884486674845,80.6,3,0,0,1,2
101,"1","Instrumental_Jazz",48.6342039095943,78,3,1,1,1,1
102,"1","No_Music",44.1071368131266,81.3,4,1,1,0,5
103,"1","Instrumental_Jazz",42.7603046258161,84.5,3,1,1,1,3
104,"1","No_Music",51.5511588164062,74.4,4,1,1,1,3
105,"1","Jazz",54.9001916447573,67.2,4,1,0,0,4
106,"1","No_Music",46.9121708975336,71.4,5,1,0,0,3
107,"1","Instrumental_Jazz",51.7630741365109,90.8,3,1,1,1,2
108,"1","No_Music",46.5030467498024,77.4,1,1,0,1,3
109,"1","Jazz",55.5638332653583,71,3,1,1,1,2
110,"1","Jazz",51.901979250675,61.5,5,0,0,1,3
111,"1","Instrumental_Jazz",51.5887237102399,73.7,2,1,0,1,1
112,"1","No_Music",53.2663745520046,84.3,5,1,1,1,1
113,"1","Jazz",52.2202670487275,66.9,3,0,1,1,4
114,"1","Instrumental_Jazz",44.0832800762758,78.8,3,1,0,0,3
115,"1","No_Music",53.7275135332138,74.1,3,0,1,1,5
116,"1","Jazz",50.4519147454745,64.1,3,1,1,0,5
117,"1","Instrumental_Jazz",48.4864161474077,86.6,3,1,1,1,1
118,"1","Instrumental_Jazz",37.5921570407904,85,3,0,0,1,3
119,"1","No_Music",50.45752025144,85.9,3,1,0,1,4
120,"1","Instrumental_Jazz",41.0194914183991,74.8,1,1,1,1,3
121,"1","No_Music",52.5459870504269,72.8,4,1,0,0,3
122,"1","Instrumental_Jazz",53.9945967268028,84,3,0,1,0,3
123,"1","Instrumental_Jazz",37.7700426055639,89.8,3,1,0,0,3
124,"1","Jazz",56.6127894834937,61.4,4,1,1,1,1
125,"1","Jazz",50.2498038184176,66.6,4,1,1,0,3
126,"1","Instrumental_Jazz",39.0169911865248,79.5,2,1,1,1,1
127,"1","Jazz",52.175508938861,58.6,1,1,1,1,1
128,"1","No_Music",51.6092890044562,69.1,4,1,1,1,1
129,"1","Instrumental_Jazz",40.4343862335425,75.6,3,0,0,1,3
130,"1","No_Music",47.6840880487104,65.5,4,1,0,0,1
131,"1","No_Music",53.3331855333271,75.7,2,1,1,0,2
132,"1","Instrumental_Jazz",47.2374263109581,82.3,3,1,1,0,3
133,"1","No_Music",49.3318891322509,78.2,3,1,1,1,4
134,"1","Instrumental_Jazz",39.2609471728702,87.8,4,0,1,0,2
135,"1","No_Music",43.5759342398355,64.8,1,1,0,1,2
136,"1","Instrumental_Jazz",47.7061328415544,79.4,4,1,1,0,1
137,"1","Jazz",48.3885532765022,61,4,1,1,0,3
138,"1","Jazz",39.9944413512686,67.3,2,1,0,0,5
139,"1","Instrumental_Jazz",48.1768911143112,86.4,4,1,1,1,2
140,"1","Instrumental_Jazz",55.2695098345726,83.4,3,1,1,1,5
141,"1","Jazz",57.659389113141,66.1,3,1,1,1,3
142,"1","Jazz",49.4840893214878,64.7,4,0,0,1,1
143,"1","No_Music",42.3310617867223,74.7,5,1,0,1,3
144,"1","Jazz",49.9051450033942,70.8,3,1,1,0,3
145,"1","Jazz",53.6436139616484,71,5,1,0,0,2
146,"1","Instrumental_Jazz",45.053181000138,83.5,4,1,1,0,3
147,"1","Jazz",52.1640457708048,72.1,3,0,0,0,5
148,"1","Instrumental_Jazz",49.7977538755564,81.8,2,1,1,0,2
149,"1","No_Music",44.3172806882935,81.8,2,0,0,1,2
150,"1","Instrumental_Jazz",46.9351100089251,76.5,3,1,1,0,2
151,"1","Jazz",54.0832378415347,67.9,3,0,1,1,2
152,"1","No_Music",56.7435114195216,65.4,1,0,0,0,2
153,"1","No_Music",33.8668570584741,76.8,4,1,0,1,3
154,"1","Jazz",49.4948801761652,54.6,1,1,0,1,1
155,"1","No_Music",34.832436616616,73.1,4,1,0,1,3
156,"1","Instrumental_Jazz",43.2226475023326,81.9,5,0,1,0,3
157,"1","Jazz",56.1792486591651,69,3,0,0,1,2
158,"1","Jazz",49.795875675633,63.5,3,0,0,1,5
159,"1","No_Music",46.9941373707009,71.7,2,1,0,0,3
160,"1","No_Music",52.224210053356,74.7,3,1,1,1,3
161,"1","Instrumental_Jazz",41.9839360548799,78.6,4,1,1,1,3
162,"1","No_Music",54.5837121644682,76.9,5,1,1,1,3
163,"1","Jazz",58.0968639144362,69.2,2,1,0,1,2
164,"1","No_Music",49.1941436534395,68.4,5,1,0,0,3
165,"1","Jazz",53.6815873726544,64.9,3,1,0,0,2
166,"1","Instrumental_Jazz",55.5642713963898,87.7,5,0,0,1,2
167,"1","Instrumental_Jazz",48.6305117966093,78.9,2,1,1,0,1
168,"1","Instrumental_Jazz",44.9554286738483,78.4,3,0,1,0,4
169,"1","No_Music",51.0125085044153,79.3,2,1,1,1,3
170,"1","Instrumental_Jazz",47.976395571301,75.3,5,0,1,0,3
171,"1","Instrumental_Jazz",37.3212879311219,79.5,5,0,0,0,3
172,"1","Instrumental_Jazz",48.8199579603354,78.2,1,1,0,1,1
173,"1","Instrumental_Jazz",51.2389867254212,74,3,1,0,1,2
174,"1","Jazz",57.439301162711,65.2,2,1,0,1,1
175,"1","Instrumental_Jazz",46.1104925136665,82.5,5,1,0,1,1
176,"1","Jazz",52.5028705120164,63.1,2,1,1,1,5
177,"1","Instrumental_Jazz",45.10847924797,81,2,1,1,1,2
178,"1","No_Music",49.2076376539752,76.7,2,1,0,0,3
179,"1","Jazz",54.663596943372,67.6,1,1,0,0,2
180,"1","Jazz",44.712604285749,63.7,3,1,1,0,3
181,"1","Jazz",61.2287772812985,62.4,4,0,0,0,1
182,"1","Jazz",53.3189669147425,68.4,3,1,0,0,3
183,"1","Jazz",52.9263578626326,71.2,2,1,0,0,3
184,"1","No_Music",52.3862851645846,73.6,3,0,1,1,5
185,"1","No_Music",40.4643639726367,69.3,3,0,0,1,1
186,"1","Jazz",50.5673875268386,54.8,4,0,1,0,2
187,"1","Instrumental_Jazz",48.7895559978637,76.1,3,0,0,1,2
188,"1","Instrumental_Jazz",45.0337658887299,78.1,4,0,1,1,2
189,"1","Instrumental_Jazz",44.9156227658031,87.5,4,1,1,0,3
190,"1","Instrumental_Jazz",42.2560947292653,82.4,5,1,0,1,3
191,"1","Jazz",55.3394806643307,68.1,4,1,0,0,3
192,"1","Jazz",49.000327765723,66.7,3,1,0,0,1
193,"1","No_Music",48.2478592889649,70.6,4,1,1,1,5
194,"1","Jazz",51.7221880827084,69,2,0,0,1,3
195,"1","Instrumental_Jazz",34.576931138285,77.3,4,1,1,1,2
196,"1","No_Music",49.5044747088607,77.9,3,1,1,1,5
197,"1","Instrumental_Jazz",44.6633956799157,76.8,2,1,1,0,1
198,"1","Instrumental_Jazz",44.3471671714495,85.4,2,1,0,0,3
