"participant_id","treatment_invite","age","income","income_sq","race","family_law_enforcement","prev_incarcerated","family_incarcerated","num_children","num_children_under18","completed_pre_survey","completed_post_survey","attended_forum","trust_index_pre","trust_index_post","stress_index_pre","stress_index_post","safety_index_pre","safety_index_post","engage_index_pre","engage_index_post","satisfaction_index_pre","satisfaction_index_post"
1,0,63,18345,336539025,"Black",0,0,0,2,1,1,0,0,4,,2,,3,,2,,3,
2,1,38,45739,2092056121,"White",0,0,0,0,0,1,1,1,3,4,4,4,3,3,2,3,3,3
3,0,48,16148,260757904,"Hispanic",0,0,0,2,1,1,1,0,2,2,3,3,4,3,4,4,3,3
4,1,43,10233,104714289,"White",0,,0,4,3,1,1,1,1,2,4,3,5,5,2,2,3,4
5,1,37,93588,8758713744,"Hispanic",1,0,0,1,1,1,1,0,2,1,2,2,3,3,3,3,3,2
6,0,38,102793,10566400849,"Hispanic",0,0,0,2,1,1,1,1,3,4,3,2,4,4,3,2,3,4
7,1,55,21934,481100356,"Black",0,0,0,0,0,1,0,0,3,,3,,3,,2,,2,
8,1,37,40221,1617728841,"Black",0,0,0,2,1,1,1,1,3,3,4,4,3,3,3,3,3,3
9,1,18,20183,407353489,"White",0,0,0,0,0,1,1,1,2,3,3,2,3,3,3,4,4,3
10,0,37,64403,4147746409,"Black",0,1,0,2,2,0,1,1,,2,,4,,3,,3,,3
11,1,48,48827,2384075929,"White",0,0,0,0,0,1,1,1,3,3,2,3,4,4,3,4,4,4
12,0,49,24940,622003600,"Asian",0,0,0,1,1,1,1,0,3,2,3,3,4,4,4,4,2,2
13,1,49,26914,724363396,"White",0,0,0,1,1,1,1,1,3,3,3,3,4,5,2,3,3,4
14,1,18,21378,457018884,"Black",0,1,0,2,2,0,0,0,,,,,,,,,,
15,0,46,70890,5025392100,"Black",0,,1,1,0,1,1,0,2,2,3,3,3,4,3,3,4,3
16,1,55,78951,6233260401,"White",0,,0,1,1,1,1,0,2,2,3,3,3,3,3,3,2,2
17,0,59,67573,4566110329,"Other",0,0,0,3,1,1,1,0,3,4,4,3,3,3,3,4,2,3
18,0,37,25475,648975625,"Other",0,0,0,2,2,1,1,0,2,2,3,2,3,3,3,4,3,2
19,0,35,11978,143472484,"Black",0,1,1,0,0,1,1,1,2,2,4,3,3,3,3,3,2,3
20,1,62,76457,5845672849,"Black",0,0,0,0,0,1,1,1,2,3,2,2,3,3,3,4,3,4
21,1,18,43396,1883212816,"Black",0,0,0,1,0,1,1,0,2,2,4,4,4,5,3,3,3,3
22,1,33,48449,2347305601,"Asian",0,0,0,0,0,1,0,0,3,,2,,4,,2,,3,
23,1,47,114174,13035702276,"Hispanic",0,0,0,1,1,1,1,0,4,3,4,4,4,4,4,3,2,2
24,1,18,24464,598487296,"Black",0,1,0,1,0,1,1,0,2,2,4,4,2,2,4,4,3,2
25,1,44,124865,15591268225,"Black",0,0,1,3,2,1,1,0,2,2,4,4,3,3,4,4,3,3
26,1,68,35926,1290677476,"White",0,0,0,1,0,1,1,0,3,3,1,1,4,4,4,4,2,2
27,1,40,28261,798684121,"Black",0,1,0,0,0,1,0,1,2,,3,,2,,3,,3,
28,1,36,42412,1798777744,"Hispanic",0,0,0,0,0,1,1,1,2,2,3,2,3,3,3,3,3,4
29,0,47,68309,4666119481,"Black",1,0,0,0,0,0,1,0,,3,,3,,2,,3,,3
30,0,36,42362,1794539044,"White",0,0,1,1,1,1,1,0,3,3,4,3,3,3,3,3,3,3
31,1,52,24328,591851584,"Black",0,1,1,3,3,0,0,0,,,,,,,,,,
32,1,54,39914,1593127396,"White",0,0,0,2,2,1,1,1,3,4,3,3,3,4,3,4,3,4
33,1,40,6544,42823936,"Black",0,0,0,1,1,1,1,1,2,3,4,4,3,3,3,4,3,3
34,1,22,33289,1108157521,"Hispanic",0,0,0,1,1,1,1,1,3,3,3,3,2,2,3,3,2,2
35,0,20,72009,5185296081,"White",0,0,0,1,1,1,0,0,1,,3,,4,,3,,3,
36,0,31,43668,1906894224,"White",0,0,0,0,0,1,1,0,2,3,2,2,2,3,3,3,3,3
37,1,52,86720,7520358400,"White",0,0,0,1,1,1,1,1,3,4,2,2,4,4,3,3,3,4
38,0,18,73759,5440390081,"White",0,0,1,2,0,1,0,0,2,,3,,4,,3,,3,
39,0,18,83809,7023948481,"Black",0,0,0,0,0,1,1,1,2,3,3,2,4,4,4,4,2,2
40,0,30,84509,7141771081,"Black",0,0,0,1,1,1,1,0,3,3,4,4,3,3,3,3,2,2
41,0,46,12443,154828249,"White",0,,0,2,2,1,0,0,2,,3,,4,,3,,4,
42,0,26,50167,2516727889,"Hispanic",0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3
43,0,53,184210,33933324100,"White",0,0,0,1,1,1,1,0,2,2,3,3,4,3,3,3,1,1
44,0,45,34043,1158925849,"White",0,1,0,0,0,1,1,0,2,2,3,3,2,2,3,3,3,3
45,0,37,71827,5159117929,"White",0,0,0,3,1,1,1,0,3,3,2,2,2,2,3,2,3,3
46,0,52,56078,3144742084,"White",0,0,0,1,1,1,1,0,3,3,4,5,4,4,3,3,4,4
47,0,46,78072,6095237184,"Black",0,1,1,1,0,1,1,0,1,2,4,5,4,3,2,2,3,3
48,0,33,40221,1617728841,"Black",0,,0,3,2,1,1,1,3,4,3,3,3,4,2,3,2,3
49,0,43,29766,886014756,"White",0,0,0,3,3,1,1,0,4,3,4,3,3,3,2,2,2,2
50,1,50,52963,2805079369,"White",0,0,0,0,0,1,0,1,3,,3,,4,,3,,4,
51,0,45,59044,3486193936,"Black",1,0,0,2,1,1,1,0,3,3,4,4,4,5,3,3,3,3
52,0,30,43110,1858472100,"Black",0,1,1,0,0,1,1,0,2,2,3,3,4,4,3,3,3,3
53,1,53,51274,2629023076,"White",1,1,0,2,2,1,0,1,2,,4,,3,,4,,3,
54,0,57,69485,4828165225,"White",0,0,1,1,1,0,1,0,,3,,4,,3,,3,,3
55,1,44,26872,722104384,"Black",0,0,0,0,0,1,1,0,3,3,3,3,3,3,3,3,3,3
56,0,42,124433,15483571489,"Black",0,0,0,2,2,1,1,1,3,4,4,4,3,3,4,4,4,4
57,0,39,290799,84564058401,"Black",0,0,0,3,1,1,0,1,2,,4,,5,,2,,3,
58,1,72,163006,26570956036,"Other",0,0,0,1,0,1,1,1,4,4,4,3,4,4,3,3,3,2
59,1,44,34761,1208327121,"Hispanic",0,0,0,2,1,1,1,1,2,3,4,4,3,3,2,2,4,5
60,0,38,11631,135280161,"Black",0,0,0,3,2,1,1,0,2,2,3,4,3,3,3,3,3,2
61,1,18,52216,2726510656,"Black",0,0,0,3,2,1,1,1,1,1,4,4,3,3,3,4,2,2
62,0,18,101113,10223838769,"Black",0,0,0,0,0,1,1,0,2,2,4,5,3,3,2,2,3,3
